,ERC-20 Token,Ticker,Look Up Name,CoinMarketCap URL,Market Cap (2018-08-08)
97,BLOCKv,VEE,blockv,https://coinmarketcap.com/currencies/blockv/,"$24,807,300"
98,U.CASH,UCASH,u.cash,https://coinmarketcap.com/currencies/u.cash/,"$23,950,200"
99,Pillar,PLR,pillar,https://coinmarketcap.com/currencies/pillar/,"$22,851,900"
100,Rock,RKT,rock,https://coinmarketcap.com/currencies/rock/,"$22,758,700"
101,Amber,AMB,amber,https://coinmarketcap.com/currencies/amber/,"$22,026,600"
102,Arcblock,ABT,arcblock,https://coinmarketcap.com/currencies/arcblock/,"$21,542,300"
103,NAGA,NGC,naga,https://coinmarketcap.com/currencies/naga/,"$21,362,100"
104,Metal,MTL,metal,https://coinmarketcap.com/currencies/metal/,"$21,077,500"
105,Odyssey,OCN,odyssey,https://coinmarketcap.com/currencies/odyssey/,"$21,043,100"
106,SIRIN LABS Token,SRN,sirin-labs-token,https://coinmarketcap.com/currencies/sirin-labs-token/,"$20,947,400"
107,Dent,DENT,dent,https://coinmarketcap.com/currencies/dent/,"$20,260,500"
108,Telcoin,TEL,telcoin,https://coinmarketcap.com/currencies/telcoin/,"$20,033,500"
109,Genesis Vision,GVT,genesis-vision,https://coinmarketcap.com/currencies/genesis-vision/,"$19,688,000"
110,Eidoo,EDO,eidoo,https://coinmarketcap.com/currencies/eidoo/,"$19,525,500"
111,Jibrel Network,JNT,jibrel-network,https://coinmarketcap.com/currencies/jibrel-network/,"$19,285,300"
112,EDUCare,EKT,educare,https://coinmarketcap.com/currencies/educare/,"$18,926,900"
113,Trade Token,TIO,trade-token,https://coinmarketcap.com/currencies/trade-token/,"$18,494,600"
114,Selfkey,KEY,selfkey,https://coinmarketcap.com/currencies/selfkey/,"$18,423,700"
115,EthLend,LEND,ethlend,https://coinmarketcap.com/currencies/ethlend/,"$18,199,600"
116,SophiaTX,SPHTX,sophiatx,https://coinmarketcap.com/currencies/sophiatx/,"$17,922,100"
117,AdEx,ADX,adex,https://coinmarketcap.com/currencies/adex/,"$17,421,400"
118,Soarcoin,SOAR,soarcoin,https://coinmarketcap.com/currencies/soarcoin/,"$16,263,300"
119,IoT Chain,ITC,iot-chain,https://coinmarketcap.com/currencies/iot-chain/,"$15,915,100"
120,district0x,DNT,district0x,https://coinmarketcap.com/currencies/district0x/,"$15,907,100"
121,SpankChain,SPANK,spankchain,https://coinmarketcap.com/currencies/spankchain/,"$15,521,600"
122,TokenCard,TKN,tokencard,https://coinmarketcap.com/currencies/tokencard/,"$15,401,100"
123,ATN,ATN,atn,https://coinmarketcap.com/currencies/atn/,"$15,386,800"
124,Universa,UTNP,universa,https://coinmarketcap.com/currencies/universa/,"$15,296,600"
125,Presearch,PRE,presearch,https://coinmarketcap.com/currencies/presearch/,"$14,793,300"
126,SportyFi,SPF,sportyfi,https://coinmarketcap.com/currencies/sportyfi/,"$14,783,400"
127,Neumark,NEU,neumark,https://coinmarketcap.com/currencies/neumark/,"$14,528,000"
128,SingularDTV,SNGLS,singulardtv,https://coinmarketcap.com/currencies/singulardtv/,"$14,518,000"
129,TokenClub,TCT,tokenclub,https://coinmarketcap.com/currencies/tokenclub/,"$14,511,200"
130,Covesting,COV,covesting,https://coinmarketcap.com/currencies/covesting/,"$14,398,500"
131,CPChain,CPC,cpchain,https://coinmarketcap.com/currencies/cpchain/,"$14,203,500"
132,MobileGo,MGO,mobilego,https://coinmarketcap.com/currencies/mobilego/,"$14,137,400"
133,OriginTrail,TRAC,origintrail,https://coinmarketcap.com/currencies/origintrail/,"$14,078,800"
134,AirSwap,AST,airswap,https://coinmarketcap.com/currencies/airswap/,"$13,829,300"
135,Lympo,LYM,lympo,https://coinmarketcap.com/currencies/lympo/,"$13,817,500"
136,Mothership,MSP,mothership,https://coinmarketcap.com/currencies/mothership/,"$13,692,100"
137,Wings,WINGS,wings,https://coinmarketcap.com/currencies/wings/,"$13,565,800"
138,Delphy,DPY,delphy,https://coinmarketcap.com/currencies/delphy/,"$13,483,200"
139,DATA,DTA,data,https://coinmarketcap.com/currencies/data/,"$13,462,300"
140,PayPie,PPP,paypie,https://coinmarketcap.com/currencies/paypie/,"$13,431,700"
141,Modum,MOD,modum,https://coinmarketcap.com/currencies/modum/,"$13,416,300"
142,UTRUST,UTK,utrust,https://coinmarketcap.com/currencies/utrust/,"$13,360,000"
143,Hive Project,HVN,hive-project,https://coinmarketcap.com/currencies/hive-project/,"$13,337,500"
144,Refereum,RFR,refereum,https://coinmarketcap.com/currencies/refereum/,"$13,106,000"
145,Hydro Protocol,HOT,hydro-protocol,https://coinmarketcap.com/currencies/hydro-protocol/,"$12,931,800"
146,adToken,ADT,adtoken,https://coinmarketcap.com/currencies/adtoken/,"$12,705,100"
147,OneRoot Network,RNT,oneroot-network,https://coinmarketcap.com/currencies/oneroot-network/,"$12,368,800"
148,Cobinhood,COB,cobinhood,https://coinmarketcap.com/currencies/cobinhood/,"$12,060,700"
149,True USD,TUSD,true-usd,https://coinmarketcap.com/currencies/true-usd/,"$11,918,700"
150,ugChain,UGC,ugchain,https://coinmarketcap.com/currencies/ugchain/,"$11,823,900"
151,AppCoins,APPC,appcoins,https://coinmarketcap.com/currencies/appcoins/,"$11,561,500"
152,TIES Network,TIE,ties-network,https://coinmarketcap.com/currencies/ties-network/,"$11,479,400"
153,Fortuna,FOTA,fortuna,https://coinmarketcap.com/currencies/fortuna/,"$11,415,800"
154,Yee,YEE,yee,https://coinmarketcap.com/currencies/yee/,"$11,319,100"
155,Datum,DAT,datum,https://coinmarketcap.com/currencies/datum/,"$11,290,100"
156,WePower,WPR,wepower,https://coinmarketcap.com/currencies/wepower/,"$10,987,000"
157,Aurora DAO,AURA,aurora-dao,https://coinmarketcap.com/currencies/aurora-dao/,"$10,935,900"
158,DecentBet,DBET,decentbet,https://coinmarketcap.com/currencies/decentbet/,"$10,792,400"
159,Credo,CREDO,credo,https://coinmarketcap.com/currencies/credo/,"$10,624,100"
160,Grid+,GRID,grid+,https://coinmarketcap.com/currencies/grid+/,"$10,594,300"
161,SwftCoin,SWFTC,swftcoin,https://coinmarketcap.com/currencies/swftcoin/,"$10,515,100"
162,Envion,EVN,envion,https://coinmarketcap.com/currencies/envion/,"$10,271,100"
163,Lunyr,LUN,lunyr,https://coinmarketcap.com/currencies/lunyr/,"$10,234,200"
164,Numeraire,NMR,numeraire,https://coinmarketcap.com/currencies/numeraire/,"$9,981,320"
165,Blackmoon,BMC,blackmoon,https://coinmarketcap.com/currencies/blackmoon/,"$9,930,680"
166,Humaniq,HMQ,humaniq,https://coinmarketcap.com/currencies/humaniq/,"$9,894,570"
167,Cashaa,CAS,cashaa,https://coinmarketcap.com/currencies/cashaa/,"$9,804,910"
168,TaaS,TAAS,taas,https://coinmarketcap.com/currencies/taas/,"$9,772,650"
169,DMarket,DMT,dmarket,https://coinmarketcap.com/currencies/dmarket/,"$9,695,980"
170,Tierion,TNT,tierion,https://coinmarketcap.com/currencies/tierion/,"$9,684,010"
171,Bankex,BKX,bankex,https://coinmarketcap.com/currencies/bankex/,"$9,656,550"
172,Blox,CDT,blox,https://coinmarketcap.com/currencies/blox/,"$9,642,690"
173,Quantum,QAU,quantum,https://coinmarketcap.com/currencies/quantum/,"$9,608,620"
174,Propy,PRO,propy,https://coinmarketcap.com/currencies/propy/,"$9,514,300"
175,Unikoin Gold,UKG,unikoin-gold,https://coinmarketcap.com/currencies/unikoin-gold/,"$9,427,260"
176,Primas,PST,primas,https://coinmarketcap.com/currencies/primas/,"$9,387,000"
177,Ormeus Coin,ORME,ormeus-coin,https://coinmarketcap.com/currencies/ormeus-coin/,"$9,250,940"
178,Swarm,SWM,swarm,https://coinmarketcap.com/currencies/swarm/,"$9,077,290"
179,Cofound.it,CFI,cofound.it,https://coinmarketcap.com/currencies/cofound.it/,"$8,998,140"
180,INS Ecosystem,INS,ins-ecosystem,https://coinmarketcap.com/currencies/ins-ecosystem/,"$8,783,330"
181,Rialto,XRL,rialto,https://coinmarketcap.com/currencies/rialto/,"$8,735,480"
182,Maecenas,ART,maecenas,https://coinmarketcap.com/currencies/maecenas/,"$8,695,260"
183,Olympus Labs,MOT,olympus-labs,https://coinmarketcap.com/currencies/olympus-labs/,"$8,631,150"
184,FirstBlood,1ST,firstblood,https://coinmarketcap.com/currencies/firstblood/,"$8,616,160"
185,ProChain,PRO,prochain,https://coinmarketcap.com/currencies/prochain/,"$8,349,960"
186,Zeusshield,ZSC,zeusshield,https://coinmarketcap.com/currencies/zeusshield/,"$8,313,680"
187,Etherparty,FUEL,etherparty,https://coinmarketcap.com/currencies/etherparty/,"$8,203,440"
188,Everex,EVX,everex,https://coinmarketcap.com/currencies/everex/,"$8,197,860"
189,QunQun,QUN,qunqun,https://coinmarketcap.com/currencies/qunqun/,"$8,121,740"
190,Melon,MLN,melon,https://coinmarketcap.com/currencies/melon/,"$8,008,670"
191,Social,SCL,social,https://coinmarketcap.com/currencies/social/,"$7,921,880"
192,Decision Token,HST,decision-token,https://coinmarketcap.com/currencies/decision-token/,"$7,885,120"
193,WaBi,WABI,wabi,https://coinmarketcap.com/currencies/wabi/,"$7,824,510"
194,Neurotoken,NTK,neurotoken,https://coinmarketcap.com/currencies/neurotoken/,"$7,656,510"
195,Polybius,PLBT,polybius,https://coinmarketcap.com/currencies/polybius/,"$7,485,160"
196,VIBE,VIBE,vibe,https://coinmarketcap.com/currencies/vibe/,"$7,332,490"
197,AI Doctor,AIDOC,ai-doctor,https://coinmarketcap.com/currencies/ai-doctor/,"$7,205,840"
198,Uquid Coin,UQC,uquid-coin,https://coinmarketcap.com/currencies/uquid-coin/,"$7,161,500"
199,Stox,STX,stox,https://coinmarketcap.com/currencies/stox/,"$7,145,830"
200,LockChain,LOC,lockchain,https://coinmarketcap.com/currencies/lockchain/,"$7,008,270"
