,ERC-20 Token,Ticker,Look Up Name,CoinMarketCap URL,Market Cap (2018-08-05)
140,Modum,MOD,modum,https://coinmarketcap.com/currencies/modum/,"$15,092,800"
141,UTRUST,UTK,utrust,https://coinmarketcap.com/currencies/utrust/,"$14,868,400"
142,SportyFi,SPF,sportyfi,https://coinmarketcap.com/currencies/sportyfi/,"$14,783,400"
143,Wings,WINGS,wings,https://coinmarketcap.com/currencies/wings/,"$14,553,000"
144,Hive Project,HVN,hive-project,https://coinmarketcap.com/currencies/hive-project/,"$14,185,300"
145,Aurora DAO,AURA,aurora-dao,https://coinmarketcap.com/currencies/aurora-dao/,"$14,159,600"
146,Credo,CREDO,credo,https://coinmarketcap.com/currencies/credo/,"$13,841,800"
147,Neumark,NEU,neumark,https://coinmarketcap.com/currencies/neumark/,"$13,605,900"
148,Yee,YEE,yee,https://coinmarketcap.com/currencies/yee/,"$13,559,300"
149,OneRoot Network,RNT,oneroot-network,https://coinmarketcap.com/currencies/oneroot-network/,"$13,482,800"
150,DecentBet,DBET,decentbet,https://coinmarketcap.com/currencies/decentbet/,"$13,292,400"
151,SwftCoin,SWFTC,swftcoin,https://coinmarketcap.com/currencies/swftcoin/,"$13,057,000"
152,Hydro Protocol,HOT,hydro-protocol,https://coinmarketcap.com/currencies/hydro-protocol/,"$12,865,500"
153,WePower,WPR,wepower,https://coinmarketcap.com/currencies/wepower/,"$12,698,700"
154,ugChain,UGC,ugchain,https://coinmarketcap.com/currencies/ugchain/,"$12,497,600"
155,Primas,PST,primas,https://coinmarketcap.com/currencies/primas/,"$12,269,400"
156,Blox,CDT,blox,https://coinmarketcap.com/currencies/blox/,"$12,172,000"
157,Propy,PRO,propy,https://coinmarketcap.com/currencies/propy/,"$12,144,500"
158,Tierion,TNT,tierion,https://coinmarketcap.com/currencies/tierion/,"$11,931,200"
159,True USD,TUSD,true-usd,https://coinmarketcap.com/currencies/true-usd/,"$11,918,700"
160,Lunyr,LUN,lunyr,https://coinmarketcap.com/currencies/lunyr/,"$11,661,200"
161,Unikoin Gold,UKG,unikoin-gold,https://coinmarketcap.com/currencies/unikoin-gold/,"$11,515,800"
162,TIES Network,TIE,ties-network,https://coinmarketcap.com/currencies/ties-network/,"$11,479,400"
163,Blackmoon,BMC,blackmoon,https://coinmarketcap.com/currencies/blackmoon/,"$11,404,900"
164,DMarket,DMT,dmarket,https://coinmarketcap.com/currencies/dmarket/,"$11,374,400"
165,Numeraire,NMR,numeraire,https://coinmarketcap.com/currencies/numeraire/,"$11,331,200"
166,Cofound.it,CFI,cofound.it,https://coinmarketcap.com/currencies/cofound.it/,"$11,246,700"
167,Cashaa,CAS,cashaa,https://coinmarketcap.com/currencies/cashaa/,"$11,195,700"
168,Humaniq,HMQ,humaniq,https://coinmarketcap.com/currencies/humaniq/,"$11,083,600"
169,Envion,EVN,envion,https://coinmarketcap.com/currencies/envion/,"$11,082,800"
170,adToken,ADT,adtoken,https://coinmarketcap.com/currencies/adtoken/,"$10,843,300"
